"Geolocation","Threshold/Incidence/Parameters","Year","Value (Reported value — see source for units)","Source status","Release","Source"
"....City of Mandaluyong a/, b/, c/","95% Confidence Interval (Lower Limit)","2023","0","","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"....City of Mandaluyong a/, b/, c/","95% Confidence Interval (Upper Limit)","2018","2.4","","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"....City of Mandaluyong a/, b/, c/","95% Confidence Interval (Upper Limit)","2021","1.4","","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"....City of Mandaluyong a/, b/, c/","95% Confidence Interval (Upper Limit)","2023","1","","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"....City of Marikina 2/, a/, b/, c/","Annual Per Capita Poverty Threshold (in PhP)","2018","28682.27","","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"....City of Marikina 2/, a/, b/, c/","Annual Per Capita Poverty Threshold (in PhP)","2021","32977.94","","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"....City of Marikina 2/, a/, b/, c/","Annual Per Capita Poverty Threshold (in PhP)","2023","37710.94","","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"....City of Marikina 2/, a/, b/, c/","Poverty Incidence among Population (%)","2018","1.9","","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"....City of Marikina 2/, a/, b/, c/","Poverty Incidence among Population (%)","2021","2.6","","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"....City of Marikina 2/, a/, b/, c/","Poverty Incidence among Population (%)","2023","0.9","","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"....City of Marikina 2/, a/, b/, c/","Coefficient of Variation","2018","27.4","","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"....City of Marikina 2/, a/, b/, c/","Coefficient of Variation","2021","22.3","","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"....City of Marikina 2/, a/, b/, c/","Coefficient of Variation","2023","42.2","","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"....City of Marikina 2/, a/, b/, c/","Standard Error","2018","0.5","","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"....City of Marikina 2/, a/, b/, c/","Standard Error","2021","0.6","","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"....City of Marikina 2/, a/, b/, c/","Standard Error","2023","0.4","","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"....City of Marikina 2/, a/, b/, c/","95% Confidence Interval (Lower Limit)","2018","0.9","","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"....City of Marikina 2/, a/, b/, c/","95% Confidence Interval (Lower Limit)","2021","1.4","","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"....City of Marikina 2/, a/, b/, c/","95% Confidence Interval (Lower Limit)","2023","0.2","","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
